Part_ID,Part_Name,Equipment_Family_ID,Equipment_Family,Equipment_Model,Part_Category_ID,Part_Category,Demand_Profile,Criticality,Supplier_ID,Supplier_Region,Unit_Cost_EUR,Storage_Type,Lifecycle_Status,Target_Service_Level,Avg_Weekly_Demand_Seed,ABC_Class,Source_Context,Movement_Class,Movement_Lines_36M,Annual_Lines,Avg_Monthly_Lines,Cumulative_Movement_%,Manual_Location,UDC_Type,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Unit_Volume_cm3,Max_Dimension_mm,Min_Dimension_mm,Stock_Managed,Avg_Daily_Qty,Lead_Time_Weeks,Safety_Stock_Qty,Reorder_Point_Qty,Max_Stock_Qty,Stock_Qty,Total_Qty_36M,Total_Volume_cm3,XYZ_Class,Avg_Weekly_Demand,Demand_CV,Available_Qty,Estimated_Inventory_Value
TC-CON-0347,A2024 LL Protective Cover,TC,Tyre Changer,A2024 LL,CON,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,18.94,Bin,Active,0.94,3.686,A,Anonymised/reconstructed warehouse transition dataset,B,37,12.3,1.03,63.13,R-N62,B,58,67,50,194,67,50,1,0.737,1.6,10,16,23,9,576,4462,Z,0.448717948717949,2.82229438969783,12,227.28000000000003
WA-CON-0741,3D Aligner Rubber Pad,WA,Wheel Aligner,3D Aligner,CON,Consumables & service kits,frequent,Medium,SUP-011,EU,19.86,Bin,Phase-out,0.94,3.909,A,Anonymised/reconstructed warehouse transition dataset,B,32,10.7,0.89,67.98,R-S32,PALLET,785,418,200,65626,785,200,0,0.782,1.0,11,15,23,18,610,1509398,Z,0.769230769230769,2.53565541568581,18,357.48
WB-CON-0290,Mobile Balancer Protective Cover,WB,Wheel Balancer,Mobile Balancer,CON,Consumables & service kits,frequent,Critical,SUP-007,Eastern Europe,33.94,Bin,Active,0.985,3.1,A,Anonymised/reconstructed warehouse transition dataset,B,21,7.0,0.58,74.24,R-N39,D,264,164,64,2771,264,64,1,0.62,1.4,4,9,13,6,484,36023,Y,1.07692307692308,1.64268682747703,9,305.46
TC-BRG-0372,HD1200 Truck Main Shaft,TC,Tyre Changer,HD1200 Truck,BRG,Bearings & shafts,regular,Medium,SUP-009,Italy,120.0,Bin,Active,0.94,1.338,A,Anonymised/reconstructed warehouse transition dataset,C,11,3.7,0.31,78.7,R-P14,B,129,132,93,1584,132,93,1,0.268,1.0,2,4,8,9,209,12672,Z,0.320512820512821,3.22856284815955,9,1080.0
AD-BRG-0273,Diagnostic Console Main Shaft,AD,ADAS & Diagnosis,Diagnostic Console,BRG,Bearings & shafts,regular,High,SUP-010,EU,85.0,Bin,Active,0.97,1.243,A,Anonymised/reconstructed warehouse transition dataset,C,11,3.7,0.31,79.22,R-E25,E,398,290,148,17082,398,148,1,0.249,1.1,2,4,6,2,194,102492,Z,0.192307692307692,3.64672190400657,5,425.0
WB-CON-0693,Mobile Balancer Grease Cartridge,WB,Wheel Balancer,Mobile Balancer,CON,Consumables & service kits,frequent,Medium,SUP-004,EU,32.22,Bin,Phase-out,0.94,2.766,A,Anonymised/reconstructed warehouse transition dataset,C,11,3.7,0.31,80.09,R-D12,D,216,147,55,1746,216,55,0,0.553,1.0,5,8,15,16,432,26190,Z,0.384615384615385,2.80901773671177,16,515.52
TC-CMP-0608,HD1200 Truck Mounting Head,TC,Tyre Changer,HD1200 Truck,CMP,"Clamps, jaws & tooling",regular,High,SUP-014,Eastern Europe,430.0,Small Rack,Active,0.97,1.312,A,Anonymised/reconstructed warehouse transition dataset,C,11,3.7,0.31,80.26,R-E61,F,498,502,173,43249,502,173,1,0.262,1.6,5,8,13,8,205,562237,Z,0.153846153846154,4.67870949949291,8,3440.0
WB-BRG-0188,Mobile Balancer Bearing Set,WB,Wheel Balancer,Mobile Balancer,BRG,Bearings & shafts,regular,Medium,SUP-018,EU,255.0,Bin,Active,0.94,1.138,A,Anonymised/reconstructed warehouse transition dataset,C,11,3.7,0.31,80.44,R-E43,E,125,213,27,719,213,27,1,0.228,1.3,4,6,11,5,178,7909,Z,0.102564102564103,4.45488133870426,8,2040.0
VL-CON-0770,ERCO Lift Air Filter,VL,Vehicle Lift,ERCO Lift,CON,Consumables & service kits,frequent,Low,SUP-013,North America,36.09,Bin,Active,0.9,1.667,A,Anonymised/reconstructed warehouse transition dataset,C,10,3.3,0.28,80.77,R-Q88,B,137,101,115,1591,137,101,1,0.333,2.7,3,8,12,7,261,19092,Z,0.211538461538462,3.35386549466905,11,396.99
VL-CON-0112,ERCO Lift Lubrication Kit,VL,Vehicle Lift,ERCO Lift,CON,Consumables & service kits,frequent,Medium,SUP-003,EU,22.55,Bin,Active,0.94,3.049,A,Anonymised/reconstructed warehouse transition dataset,C,9,3.0,0.25,82.79,R-C20,B,117,146,103,1759,146,103,1,0.61,1.0,9,13,21,18,476,36939,Z,0.352564102564103,3.18632776365448,18,405.90000000000003
TE-BRG-0477,Test Lane Roller Bearing,TE,Technical Control,Test Lane,BRG,Bearings & shafts,regular,High,SUP-018,EU,85.0,Bin,Active,0.97,1.266,A,Anonymised/reconstructed warehouse transition dataset,C,8,2.7,0.22,85.45,R-H05,VER,527,674,54,19181,674,54,1,0.253,1.3,3,5,9,5,198,172629,Z,0.166666666666667,3.65971971428097,5,425.0
WA-BRG-0964,REMO Bearing Set,WA,Wheel Aligner,REMO,BRG,Bearings & shafts,regular,High,SUP-013,North America,255.0,Bin,Active,0.97,1.242,A,Anonymised/reconstructed warehouse transition dataset,C,8,2.7,0.22,86.2,R-Y40,D,225,195,134,5879,225,134,1,0.248,2.7,6,10,17,12,194,99943,Z,0.435897435897436,2.56892920380415,12,3060.0
TE-CON-0826,Brake Tester Filter Kit,TE,Technical Control,Brake Tester,CON,Consumables & service kits,frequent,Medium,SUP-019,EU,20.7,Bin,Active,0.94,3.018,A,Anonymised/reconstructed warehouse transition dataset,C,8,2.7,0.22,86.46,R-C56,D,232,205,98,4661,232,98,1,0.604,1.0,9,13,21,9,471,97881,Z,0.320512820512821,3.68289927866269,15,310.5
VL-BRG-0767,Alignment Lift Bearing Set,VL,Vehicle Lift,Alignment Lift,BRG,Bearings & shafts,regular,Medium,SUP-015,EU,170.0,Bin,Active,0.94,1.314,A,Anonymised/reconstructed warehouse transition dataset,C,7,2.3,0.19,88.29,R-Z02,D,172,92,13,206,172,13,1,0.263,1.4,4,6,9,11,205,1854,Z,0.243589743589744,5.44568390085813,11,1870.0
VL-BLT-0991,Alignment Lift Poly-V Belt,VL,Vehicle Lift,Alignment Lift,BLT,Belts & pulleys,regular,High,SUP-007,Eastern Europe,150.0,Bin,Active,0.97,1.713,A,Anonymised/reconstructed warehouse transition dataset,C,7,2.3,0.19,88.84,R-Y17,D,121,220,129,3434,220,121,1,0.343,1.4,5,8,13,11,268,44642,Z,0.314102564102564,3.21035560227618,11,1650.0
WA-BLT-0233,REMO Belt Tensioner,WA,Wheel Aligner,REMO,BLT,Belts & pulleys,regular,High,SUP-013,North America,55.0,Bin,Active,0.97,1.501,A,Anonymised/reconstructed warehouse transition dataset,C,6,2.0,0.17,89.48,R-I96,B,108,50,54,292,108,50,1,0.3,2.7,2,7,13,7,235,3796,Z,0.448717948717949,2.56036945984401,7,385.0
TC-BLT-0409,Basic Line TC Drive Belt,TC,Tyre Changer,Basic Line TC,BLT,Belts & pulleys,regular,Medium,SUP-007,Eastern Europe,100.0,Bin,Active,0.94,1.303,A,Anonymised/reconstructed warehouse transition dataset,C,6,2.0,0.17,89.95,R-D68,B,94,137,88,1133,137,88,1,0.261,1.4,2,4,6,4,204,6798,Z,0.365384615384615,4.46296728939186,4,400.0
WB-BRG-0140,Mobile Balancer Hub Shaft,WB,Wheel Balancer,Mobile Balancer,BRG,Bearings & shafts,regular,Medium,SUP-010,EU,175.0,Bin,Active,0.94,1.406,A,Anonymised/reconstructed warehouse transition dataset,C,6,2.0,0.17,90.23,R-A22,B,87,34,93,275,93,34,1,0.281,1.1,4,6,9,5,220,2475,Z,0.429487179487179,3.74141346949875,9,1575.0
TE-BRG-0020,Brake Tester Spindle Bearing,TE,Technical Control,Brake Tester,BRG,Bearings & shafts,regular,Medium,SUP-018,EU,105.0,Bin,Active,0.94,1.382,A,Anonymised/reconstructed warehouse transition dataset,C,5,1.7,0.14,90.57,R-N36,F,360,411,198,29296,411,198,1,0.276,1.3,5,7,10,4,216,292960,Z,0.192307692307692,3.87854312522029,6,630.0
WA-BRG-0587,REMO Main Shaft,WA,Wheel Aligner,REMO,BRG,Bearings & shafts,regular,High,SUP-019,EU,150.0,Bin,Active,0.97,1.468,A,Anonymised/reconstructed warehouse transition dataset,C,4,1.3,0.11,91.39,R-S29,E,298,231,73,5025,298,73,1,0.294,1.0,5,7,11,9,230,55275,Z,0.320512820512821,3.75048900037522,9,1350.0
WB-CMP-0897,Eyelight Jaw Cover,WB,Wheel Balancer,Eyelight,CMP,"Clamps, jaws & tooling",regular,High,SUP-020,EU,115.0,Small Rack,Active,0.97,1.243,A,Anonymised/reconstructed warehouse transition dataset,C,4,1.3,0.11,91.89,R-E59,F,427,242,184,19013,427,184,1,0.249,1.3,3,5,8,4,194,152104,Z,0.173076923076923,3.7795483938336,8,920.0
WB-BLT-0664,Eyelight Belt Tensioner,WB,Wheel Balancer,Eyelight,BLT,Belts & pulleys,regular,High,SUP-019,EU,145.0,Bin,New,0.97,1.642,A,Anonymised/reconstructed warehouse transition dataset,C,4,1.3,0.11,92.02,R-E03,B,67,22,51,75,67,22,1,0.328,1.0,4,6,11,4,257,825,Z,0.153846153846154,4.12114922900663,8,1160.0
TC-CMP-0800,Artiglio Master Jaw Cover,TC,Tyre Changer,Artiglio Master,CMP,"Clamps, jaws & tooling",regular,High,SUP-006,EU,380.0,Small Rack,Active,0.97,1.243,A,Anonymised/reconstructed warehouse transition dataset,C,3,1.0,0.08,92.11,R-F15,E,372,214,31,2468,372,31,1,0.249,1.0,3,5,8,8,194,19744,Z,0.185897435897436,3.70703028964327,8,3040.0
