Part_ID,Part_Name,Equipment_Family,Equipment_Model,Part_Category,Demand_Profile,Criticality,Supplier_ID,Supplier_Region,Unit_Cost_EUR,Storage_Type,Lifecycle_Status,ABC_Class,Movement_Class,Manual_Location,UDC_Type,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Unit_Volume_cm3,Max_Dimension_mm,Stock_Managed
TC-CON-0343,Basic Line TC Grease Cartridge,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Medium,SUP-015,EU,40.87,Bin,Active,A,A+,R-I38,VER,1543,689,68,72293,1543,1
VL-CON-0336,Scissor Lift Air Filter,Vehicle Lift,Scissor Lift,Consumables & service kits,frequent,Medium,SUP-004,EU,29.16,Bin,Active,A,A+,R-B17,D,258,91,20,470,258,1
TC-CON-0329,A2024 LL Air Filter,Tyre Changer,A2024 LL,Consumables & service kits,frequent,Medium,SUP-018,EU,43.54,Bin,Active,A,A+,R-E25,B,61,30,42,77,61,1
WA-CON-0631,Exact Precision Lubrication Kit,Wheel Aligner,Exact Precision,Consumables & service kits,frequent,Medium,SUP-020,EU,26.96,Bin,Active,A,A+,R-F76,D,177,98,143,2480,177,1
TC-CON-0171,Basic Line TC Air Filter,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Medium,SUP-003,EU,40.68,Bin,Active,A,A+,R-L86,B,135,132,46,820,135,1
WA-CON-0494,Camera Aligner O-Ring Kit,Wheel Aligner,Camera Aligner,Consumables & service kits,frequent,High,SUP-005,Eastern Europe,14.7,Bin,Active,A,A+,R-F91,D,299,144,108,4650,299,1
VL-CON-0419,ERCO Lift O-Ring Kit,Vehicle Lift,ERCO Lift,Consumables & service kits,frequent,High,SUP-020,EU,20.0,Bin,Active,A,A+,R-H98,D,151,131,127,2512,151,1
WA-CON-0200,Camera Aligner Protective Cover,Wheel Aligner,Camera Aligner,Consumables & service kits,frequent,Medium,SUP-013,North America,39.07,Bin,Active,A,A+,R-N53,D,254,199,16,809,254,1
TC-CON-0911,HD1200 Truck Service Seal Pack,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-020,EU,43.68,Bin,Active,A,A,R-G10,D,90,182,70,1147,182,1
VL-CON-0407,Scissor Lift Protective Cover,Vehicle Lift,Scissor Lift,Consumables & service kits,frequent,Low,SUP-001,Italy,26.5,Bin,Active,A,A,R-P17,ORANGE,923,962,728,646410,962,1
TC-CON-0475,HD1200 Truck Protective Cover,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,High,SUP-018,EU,5.91,Bin,Active,B,A,R-Q64,F,295,488,107,15404,488,1
WB-CON-0276,EM 9000 Grease Cartridge,Wheel Balancer,EM 9000,Consumables & service kits,frequent,Low,SUP-016,EU,25.31,Bin,Active,A,A,R-B54,D,287,200,22,1263,287,1
WB-CON-0672,EM 9000 Rubber Pad,Wheel Balancer,EM 9000,Consumables & service kits,frequent,Medium,SUP-016,EU,20.81,Bin,Active,A,A,R-M65,D,168,204,127,4353,204,1
WB-CON-0005,Eyelight Rubber Pad,Wheel Balancer,Eyelight,Consumables & service kits,frequent,Medium,SUP-009,Italy,13.22,Bin,Active,B,A,R-D26,D,133,195,127,3294,195,1
TC-CON-0008,Basic Line TC Grease Cartridge,Tyre Changer,Basic Line TC,Consumables & service kits,frequent,Medium,SUP-007,Eastern Europe,19.02,Bin,Active,A,A,R-M40,B,23,94,100,216,100,1
TC-CON-0213,HD1200 Truck Rubber Pad,Tyre Changer,HD1200 Truck,Consumables & service kits,frequent,Medium,SUP-014,Eastern Europe,34.3,Bin,Active,A,A,R-M36,B,68,26,114,202,114,1
TC-CON-0378,Artiglio Master O-Ring Kit,Tyre Changer,Artiglio Master,Consumables & service kits,frequent,High,SUP-016,EU,9.5,Bin,Active,B,A,R-Y59,B,141,30,96,406,141,1
AD-CON-0459,Diagnostic Console Protective Cover,ADAS & Diagnosis,Diagnostic Console,Consumables & service kits,frequent,Medium,SUP-019,EU,3.52,Bin,Active,C,B,R-G54,D,261,102,37,985,261,1
